exp,subj,age,gender,block,awareness_type,session,trial,set,pattern,quadrant,RT,num_additional_Rs,dist_to_T,camera_distance_from_target,angle_error_degrees,fc_response
3,1,25,F,15,1,1,1,4,59,3,9999,0,-1,-1,-1,-1
3,1,25,F,15,1,1,2,4,58,2,1565,0,0.6188461,12.51214,2.772129,-1
3,1,25,F,15,1,1,3,3,60,4,1987,0,8.12464e-8,6.570809,0,-1
3,1,25,F,15,1,1,4,6,59,3,9999,0,-1,-1,-1,-1
3,1,25,F,15,1,1,5,6,58,2,3043,1,0.8176391,12.38139,3.695281,-1
3,1,25,F,15,1,1,6,5,60,4,2343,0,0.227881,6.554869,1.928844,-1
3,1,25,F,15,1,1,7,5,57,1,1688,0,0.02238392,6.470653,0.1887116,-1
3,1,25,F,15,1,1,8,5,59,3,1776,0,0.2351772,6.549931,1.966027,-1
3,1,25,F,15,1,1,9,6,57,1,5098,0,0.641136,12.52986,2.895161,-1
3,1,25,F,15,1,1,10,3,59,3,2876,0,7.344208e-8,6.53789,0,-1
3,1,25,F,15,1,1,11,3,57,1,1187,0,0.04918908,6.462461,0.4196478,-1
3,1,25,F,15,1,1,12,4,60,4,2377,1,0.815105,12.57821,3.623312,-1
3,1,25,F,15,1,1,13,3,58,2,3476,0,0.1914859,6.45512,1.625942,-1
3,1,25,F,15,1,1,14,4,57,1,4765,0,0.3142132,12.58032,1.406948,-1
3,1,25,F,15,1,1,15,6,60,4,2387,0,0.5752779,12.58449,2.581947,-1
3,1,25,F,15,1,1,16,5,58,2,1465,0,0.3787099,6.456109,3.216377,-1
3,1,25,F,16,1,1,1,5,64,4,1888,0,0.5191727,6.59492,4.293225,-1
3,1,25,F,16,1,1,2,4,62,2,1743,0,0.4482613,12.47501,2.004669,-1
3,1,25,F,16,1,1,3,6,63,3,1421,0,0.9535529,12.50005,4.328888,-1
3,1,25,F,16,1,1,4,5,62,2,1476,0,0.1962655,6.461421,1.652801,-1
3,1,25,F,16,1,1,5,4,61,1,1832,0,0.5262794,12.57267,2.381048,-1
3,1,25,F,16,1,1,6,6,64,4,4521,0,0.8166586,12.59369,3.664312,-1
3,1,25,F,16,1,1,7,3,61,1,2098,0,0.2569713,6.45428,2.212401,-1
3,1,25,F,16,1,1,8,4,63,3,9999,0,-1,-1,-1,-1
3,1,25,F,16,1,1,9,5,61,1,1165,0,0.07690857,6.459834,0.6578966,-1
3,1,25,F,16,1,1,10,3,63,3,2187,0,5.92292e-8,6.541909,0,-1
3,1,25,F,16,1,1,11,3,62,2,5598,1,0.157679,6.473323,1.335302,-1
3,1,25,F,16,1,1,12,3,64,4,3810,0,0.3893892,6.569845,3.192059,-1
3,1,25,F,16,1,1,13,5,63,3,3665,0,4.273491e-8,6.562206,0,-1
3,1,25,F,16,1,1,14,6,61,1,4921,0,0.8903383,12.58469,4.038761,-1
3,1,25,F,16,1,1,15,6,62,2,5176,0,0.4687966,12.47548,2.105614,-1
3,1,25,F,16,1,1,16,4,64,4,3676,0,0.4730562,12.59772,2.097325,-1
3,1,25,F,17,1,1,1,5,67,3,2154,0,0.507917,6.613785,4.236789,-1
3,1,25,F,17,1,1,2,5,66,2,2010,0,0.3314627,6.50109,2.765766,-1
3,1,25,F,17,1,1,3,4,67,3,9999,0,-1,-1,-1,-1
3,1,25,F,17,1,1,4,5,65,1,1588,0,1.086091e-7,6.501678,0,-1
3,1,25,F,17,1,1,5,6,66,2,932,0,0.1971156,12.49711,0.8827091,-1
3,1,25,F,17,1,1,6,4,68,4,2254,1,0.7485087,12.62985,3.31942,-1
3,1,25,F,17,1,1,7,6,65,1,3899,2,0.2404032,12.62471,1.072284,-1
3,1,25,F,17,1,1,8,3,68,4,2177,0,0.1439732,6.594919,1.185642,-1
3,1,25,F,17,1,1,9,3,65,1,1210,0,0.2103391,6.500759,1.768682,-1
3,1,25,F,17,1,1,10,5,68,4,5521,0,0.4635892,6.649353,3.781754,-1
3,1,25,F,17,1,1,11,4,66,2,1366,0,3.224042e-7,12.49798,0,-1
3,1,25,F,17,1,1,12,6,68,4,2743,0,0.4603649,12.64345,2.042294,-1
3,1,25,F,17,1,1,13,3,67,3,2587,0,0.01132758,6.582495,0.09487279,-1
3,1,25,F,17,1,1,14,4,65,1,1565,0,1.392098e-7,12.61823,0,-1
3,1,25,F,17,1,1,15,3,66,2,3065,0,0.1391339,6.488558,1.175198,-1
3,1,25,F,17,1,1,16,6,67,3,3721,0,0.6415641,12.53611,2.903736,-1
3,1,25,F,18,1,1,1,3,69,1,1787,0,0.1175232,6.499239,0.993669,-1
3,1,25,F,18,1,1,2,3,70,2,5576,1,0.06834743,6.489129,0.5747126,-1
3,1,25,F,18,1,1,3,3,72,4,2898,0,0.5042766,6.56969,4.163724,-1
3,1,25,F,18,1,1,4,3,71,3,3543,0,1.991163e-7,6.55054,0,-1
3,1,25,F,18,1,1,5,5,70,2,1599,0,0.3636313,6.485713,3.072433,-1
3,1,25,F,18,1,1,6,6,69,1,2132,0,0.1226817,12.59782,0.5496522,-1
3,1,25,F,18,1,1,7,5,72,4,3010,1,0.3013326,6.578113,2.474567,-1
3,1,25,F,18,1,1,8,4,71,3,9999,1,-1,-1,-1,-1
3,1,25,F,18,1,1,9,4,69,1,5143,0,0.5159316,12.58407,2.331542,-1
3,1,25,F,18,1,1,10,4,72,4,3798,0,0.5678567,12.59891,2.523054,-1
3,1,25,F,18,1,1,11,6,71,3,1999,0,1.417852e-7,12.52695,0,-1
3,1,25,F,18,1,1,12,6,70,2,1799,0,0.9967204,12.5028,4.468746,-1
3,1,25,F,18,1,1,13,6,72,4,3743,0,0.5919036,12.59653,2.648263,-1
3,1,25,F,18,1,1,14,5,71,3,5320,0,0.1742024,6.549348,1.449964,-1
3,1,25,F,18,1,1,15,5,69,1,3299,0,0.01858877,6.425947,0.1570175,-1
3,1,25,F,18,1,1,16,4,70,2,2276,0,0.2552513,12.47291,1.147054,-1
3,1,25,F,1,1,1,1,10,2,2,19153,0,-1,-1,-1,1
3,1,25,F,1,1,1,2,9,4,4,5054,0,-1,-1,-1,1
3,1,25,F,1,1,1,3,7,1,1,1587,0,-1,-1,-1,1
3,1,25,F,1,1,1,4,8,4,4,4676,0,-1,-1,-1,0
3,1,25,F,1,1,1,5,8,1,1,2732,0,-1,-1,-1,0
3,1,25,F,1,1,1,6,10,3,3,7520,0,-1,-1,-1,0
3,1,25,F,1,1,1,7,10,4,4,3376,0,-1,-1,-1,1
3,1,25,F,1,1,1,8,8,2,2,3199,0,-1,-1,-1,1
3,1,25,F,1,1,1,9,8,3,3,6209,0,-1,-1,-1,0
3,1,25,F,1,1,1,10,9,2,2,3443,0,-1,-1,-1,0
3,1,25,F,1,1,1,11,7,4,4,3598,0,-1,-1,-1,1
3,1,25,F,1,1,1,12,7,2,2,3543,0,-1,-1,-1,0
3,1,25,F,1,1,1,13,9,3,3,3032,0,-1,-1,-1,0
3,1,25,F,1,1,1,14,9,1,1,4843,0,-1,-1,-1,1
