p_num,age,gender,respN_mean,RT_mean,perc_Analysed,perc_Timeout,respN_trials_Above_1,rep_NT_1,rep_NT_2,rep_NT_3,rep_NT_4,rep_NT_5,rep_FT_1,rep_FT_2,rep_FT_3,rep_FT_4,rep_FT_5,rand_NT_1,rand_NT_2,rand_NT_3,rand_NT_4,rand_NT_5,rand_FT_1,rand_FT_2,rand_FT_3,rand_FT_4,rand_FT_5,rep_NT_NS_6,rep_NT_NS_7,rep_NT_NS_8,rep_NT_NS_9,rep_NT_S_6,rep_NT_S_7,rep_NT_S_8,rep_NT_S_9,rep_FT_NS_6,rep_FT_NS_7,rep_FT_NS_8,rep_FT_NS_9,rep_FT_S_6,rep_FT_S_7,rep_FT_S_8,rep_FT_S_9,rand_NT_NS_6,rand_NT_NS_7,rand_NT_NS_8,rand_NT_NS_9,rand_FT_NS_6,rand_FT_NS_7,rand_FT_NS_8,rand_FT_NS_9,rep_NT,rep_FT,new_NT,new_FT
23,21,F,0.17669172932330826,2414.4774436090224,92.36111111111111,0.694444444444442,6.944444444444445,1953,1969.375,2275.125,3318.375,2641.714285714286,2822.285714285714,2273.75,2379.375,2664,2652.75,2879.125,3302.75,2886.25,2134.8571428571427,2461.714285714286,2607.125,2057.285714285714,2452.5714285714284,1465.25,3282.714285714286,2168.5,1737.5,2282,2965.6666666666665,2209.5,2148.5,2143,2043.25,2584.25,2881.75,2170.75,2395,1548.75,1143,1206,1410,2262.75,2208.1428571428573,2650.5714285714284,2196.8333333333335,4037.5,2019.4285714285713,2354.25,1994,0.5,0.25,0.375,0.5
24,21,F,0.2653846153846154,2543.4653846153847,90.27777777777779,1.736111111111116,9.722222222222223,2652.4,3330,3416.625,2440.875,2302.625,3019,2325.125,2606.1666666666665,2315.5,2309.5714285714284,3684.5,2527.75,2249,3489.1428571428573,2203,2920.8571428571427,2963.5,3114.5714285714284,2296.8333333333335,2196.125,2409.75,1954,1991.3333333333333,2174,2588,2846,2968.6666666666665,2606.75,1869.3333333333333,1910,1887.5,2181.75,2065.3333333333335,1882.25,1493,1698.75,2650,2991.75,2940.25,2578.875,2372.125,2276.3333333333335,2154.285714285714,2191.75,0.5,0.75,0.25,0.375
25,20,F,0.13818181818181818,2215.04,95.48611111111111,0.347222222222221,4.166666666666666,2416.1428571428573,1940,2279.375,1896.125,2082,4211.25,2896.8571428571427,2216.625,1376.25,1362.5,2304.8571428571427,2070.875,1815.375,2216.875,2308.375,4492,2655.5,3276.285714285714,1562.375,3284.5,3284.75,1568,1928.75,1479.25,1609.75,1054.3333333333333,1107.25,1051.5,1890,1362.5,1021,1262,2140.25,2124,1954.25,2081.75,2534.875,2160,3065.125,1783,2208.5,1869,2285.875,1582.7142857142858,0.625,0.5,0.625,0.5
26,20,F,0.3008130081300813,2928.3008130081303,85.41666666666666,0,14.583333333333334,3081.1428571428573,3252.714285714286,2802.3333333333335,2816.625,2755.8571428571427,3297.285714285714,2544.5714285714284,3326.25,2426.375,1920.75,3205.8333333333335,3574.8571428571427,2987.4285714285716,2808.1666666666665,2843,4367,3551.6,4611.285714285715,3282.714285714286,4042.8333333333335,3182,3910,3259.75,2695.75,2765,3354,3599,2632,2526.5,3454.25,2721,1673.75,1923.75,1768,2129.25,2118,2833.375,3536.6,2584.4285714285716,2931.8333333333335,2624.1428571428573,2344.375,2286,2263.714285714286,0.5,0.75,0.5,0.5
27,23,M,0.12544802867383512,2432.0716845878137,96.875,0.694444444444442,2.430555555555556,2520.75,2540,3342.875,3248.875,2847.125,3628.125,2429.25,2091.285714285714,1985.7142857142858,2353.125,3710.75,3828.3333333333335,3063.125,3357.625,2504,2463.25,2600.25,2064.75,2133.125,1465,2379,2540.25,2453.75,2987,1654,1718.25,1925.75,1645.25,1226.25,2832.25,1753.25,2781.25,1306.5,1462,1351.5,1631.25,2525.875,2574.5,3079.75,2773.5,1379.142857142857,1644.125,1693,1754.3333333333333,0.25,0.625,0.5,0.5
28,21,M,0.20600858369098712,3862.733905579399,80.90277777777779,4.861111111111116,14.930555555555555,5210.875,3783.6666666666665,4741.5,3396.8571428571427,5059.666666666667,3099.1666666666665,3300.6,4479,2598.5,2957.285714285714,4257.666666666667,5168.142857142857,4715.333333333333,4635,4073.285714285714,3333.4285714285716,3446,5548,2646.6666666666665,3495,4640.25,5216.666666666667,4353.75,3626.75,5809.75,3126.5,3395.75,3562.5,4102.333333333333,3061.3333333333335,4668,2484,3757,3158,2665,3179.25,4527.2,3785.714285714286,4006.4285714285716,3927,3633.285714285714,3163.5714285714284,3118.125,3614.5714285714284,0.5,0.5,0.375,0.75
29,19,F,0.20434782608695654,2079.0565217391304,79.86111111111111,1.388888888888884,20.13888888888889,2644.625,1898.75,1837.75,2195.5714285714284,1954.1666666666667,1919.75,1779.4285714285713,1444.8333333333333,2217.3333333333335,1773.5,2223.625,2305.75,2566.875,2135.6666666666665,1857.142857142857,1966.75,2052.5714285714284,1574.2,3187.5,1597,2776.6666666666665,3493,3132,2032,1387,1506.3333333333333,1348.5,1037.5,1206,1461.3333333333333,1250.6666666666667,987.5,2726.5,4443,3648.5,1284.75,2594.6666666666665,3013.3333333333335,2597.375,1951.5,2654.2,1621,1273,1982,0.5,0.375,0.25,0.375
30,20,F,0.24110671936758893,2164.395256916996,87.84722222222221,0.347222222222221,11.805555555555555,3273.1428571428573,2243,2189.125,2517.714285714286,2020,2058.1666666666665,2783.375,1668.4285714285713,1776.4,1595.5714285714287,2607,2127.285714285714,2479.5714285714284,2681.4285714285716,1682,2496,1832.1666666666667,4583.666666666667,1988.857142857143,2498.6666666666665,1812.25,1568.25,1790.5,1851.25,2157.25,2551.5,2358,2373.5,1924,1892.75,1581.75,1729.25,1194.6666666666667,1165.25,1276.5,1072.6666666666667,2192.1428571428573,1931.857142857143,2169.625,3079.5714285714284,2125.5714285714284,1624.3333333333333,1613,2283.375,0.5,0.625,0.25,0
31,20,F,0.2125,3685.070833333333,83.33333333333334,10.416666666666663,6.944444444444445,5068.833333333333,4336.714285714285,3398.5,3374.8571428571427,3385.8571428571427,2769.1666666666665,3344.6666666666665,2452.3333333333335,4557,3145,3830.285714285714,3841.1666666666665,3024,3387.4,3704.714285714286,3668,6257.428571428572,2856.625,3413.625,4199.75,2951.5,6326.25,4806,4673.75,3851,4128.333333333333,3209.75,2669,3248,3337.5,2915,2215.5,3148.5,3991.3333333333335,5451.5,2970.75,3163.875,5365.25,3536.4285714285716,3377.875,3049.4,3054.2,3229.125,2817.5714285714284,0.625,0.375,0.75,0.375
32,19,F,0.17578125,2386.921875,88.88888888888889,0.694444444444442,10.416666666666668,2326.25,1951.375,2293,2748.625,2410,3331.8571428571427,2248.5,2208,1746.8333333333333,2358.5,2514.4285714285716,1869.25,3136.4285714285716,3331.875,2161,3246.4285714285716,2817.714285714286,2628.714285714286,2898.6,2882.1666666666665,1857.6666666666667,1298.5,1345.75,1350.6666666666667,2326.25,3051.5,2388,3540.25,2643,2091.3333333333335,1532,1520.75,1965,3029.25,1648.5,1209.5,1969.375,2190.375,2816.625,2363.8571428571427,2185.8571428571427,2280.5,1757.8333333333333,2409.5714285714284,0.625,0.375,0.625,0.375
33,19,F,0.24175824175824176,2041.9615384615386,63.19444444444444,7.986111111111116,36.11111111111111,2536.4,2145,2322.6666666666665,2251,2104.125,2295,1949,1620.6666666666667,1470.5,1517,2689.5,2395.75,2431.8571428571427,1980.1666666666667,2306.1666666666665,1970.75,1304,1531.5,1954.2,1976.4285714285713,2362.5,1893.25,2434.5,2326.5,2349,2032.25,1951.25,1584,1232,1410,NA,1177,2529.25,1728.3333333333333,2482,1928,2681.8333333333335,1651.25,1893,1800.5,1343,1793.25,1720.8,1607,0.25,0.375,0.625,0.5
34,18,F,0.4271356783919598,2009.5427135678392,69.09722222222221,0,30.90277777777778,2731.75,2106,1865.3333333333333,2905.8333333333335,2235.6666666666665,2409.6,1669,1426.5,1525,1551,3389.6666666666665,2438.4285714285716,2900.25,2644.8333333333335,2747.4,2429,1723,1612,1838.2857142857142,2049.5714285714284,2465.5,1299,1799,1829,1587,2057.3333333333335,1658,1909.6666666666667,1565.5,1376.75,NA,1665.3333333333333,1415.5,1073.5,1246,1404.25,2457.8333333333335,2072.6666666666665,2198.75,2328.1666666666665,1221,1526.5,2212,1601.857142857143,NA,NA,NA,NA
35,19,F,0.13358778625954199,2212.293893129771,90.97222222222221,0.347222222222221,8.680555555555555,2484.285714285714,2224.6666666666665,2098.5714285714284,2183.125,1952,2578,2024.142857142857,1987.5,1905.625,2019,2546.5,2032,2182.8571428571427,2073.75,2587.5,3151.1428571428573,1543,2085.5,2315.125,2274.714285714286,2380,1954.25,2037.5,2329.25,1998.75,1934.75,2012.5,1929,1790.25,1898.75,1540.5,1718.25,2728.3333333333335,2901.25,1687.5,4626.5,2144.625,2090.25,2190.5,2146,3298.4,2232,2440,2111,0.25,0.375,0.5,0.375
36,18,F,0.36681222707423583,2325.8602620087336,79.51388888888889,3.125,20.48611111111111,2723.75,2469.8,2719.5,2415.1666666666665,2544.714285714286,2958.6,2831.8571428571427,2289.285714285714,2737.5,2183.375,2654,3612.5,2859.75,2878.8,2098.6666666666665,2305.5,2619.285714285714,2035.2857142857142,2298.8,1708,2571,2398.5,2213.6666666666665,2209.75,2420.75,2058,2318.25,2154.5,1990.25,1748.5,1535.6666666666667,2081.75,2446,1501.5,1346,1623.75,3144.8333333333335,2551.375,2236.5714285714284,2566.8571428571427,1876.3333333333333,2094,2003,1503.2857142857142,0.25,0.625,0.375,0.5
37,18,F,0.10256410256410256,2364.227106227106,94.79166666666666,0,5.208333333333334,2668,2471.4285714285716,2739.8571428571427,2585.714285714286,2175.125,2415.375,2422.375,1941.5714285714287,2569.375,1437.5,3094.5,2462.285714285714,2651.5,2313,2330.625,2986.25,2394.625,2141.875,3525.4285714285716,2506.75,1932,3076.5,2106.75,2426.5,2045.5,1926.5,3404,1602.6666666666667,1987.25,1220.6666666666667,1417.3333333333333,1024.6666666666667,1684.5,1562.5,2304,1771,2145.75,2484.5,3036.125,2280.625,2171.8,2613.875,2571,1741.4285714285713,0.25,0.25,0.625,0.375
38,21,F,0.34134615384615385,2530.096153846154,72.22222222222221,3.472222222222221,27.430555555555557,3011.3333333333335,3491.1666666666665,2408.285714285714,2625.2,2192.1428571428573,2493.714285714286,2391.3333333333335,2232,2101.5,1783.2,2627.75,2932.25,3237.5,5193.25,2585.5,3838.625,1723.75,2614.4285714285716,2959.5,2985.6666666666665,2454,2617.75,2424.6666666666665,2109.6666666666665,3243.3333333333335,2804,2287.5,2476.5,1891.3333333333333,3809.6666666666665,2029.25,1687.6666666666667,1817.3333333333333,1906,1662.5,1498.75,3277,2976.6,2165.5,2115,1574.8333333333333,2752.714285714286,1936.5714285714287,1748.5,0.125,0.375,0.5,0.375
39,19,F,0.2693877551020408,2182.285714285714,85.06944444444444,1.736111111111116,14.930555555555555,1901.857142857143,2622.6666666666665,2009.5,1912.5,1819.142857142857,2441,1870.142857142857,2005,1618,2582.8571428571427,2827.4,2571.714285714286,2446.4285714285716,2694.5,2937.625,2715.25,1889.6,3165.1666666666665,1711.5714285714287,2507,1965.25,1784.75,1768,1554.3333333333333,3894.6666666666665,2540.25,2606.75,2620.75,1739.6666666666667,1801.25,1995,1669,1934.5,2293,1143.25,1260,2282,2526.5,2359.1428571428573,2068.125,1826.125,1708.142857142857,1541.3333333333333,2084.1428571428573,0.5,0.625,0.375,0.25
40,18,F,0.20080321285140562,2358.293172690763,86.45833333333334,1.041666666666663,13.194444444444445,3067.1428571428573,3828.714285714286,2912.2,2787.75,2706.285714285714,3063.875,2127.75,1822.25,1933,1625.5714285714287,3484.285714285714,2952.875,2941.3333333333335,2428.1666666666665,1987.6,1829,2202.875,2284.285714285714,1739,1827.75,2002.3333333333333,4015.5,2157,2251.25,3324.3333333333335,3695,3770.5,2262.5,1498.3333333333333,1573.5,1676.5,1176,1595,1440.25,1660,1657.25,2467.4,2459.285714285714,2652.5714285714284,2685.6666666666665,2124.6666666666665,1969.1666666666667,2097,1720.875,0,0.625,0.5,0.375
