exp,subj,age,gender,condition,phase,block,awareness_type,session,trial,set,pattern,quadrant,RT,num_additional_Rs,dist_to_T,camera_distance_from_target,angle_error_degrees,fc_response
2,1,19,F,proximal_repeated,1,21,0,1,4,1,79,3,2764,0,0.3382423,6.272862,2.968079,-1
2,1,19,F,proximal_repeated,1,21,0,1,5,2,80,4,2720,2,0.7658008,12.41915,3.486948,-1
2,1,19,F,proximal_repeated,1,21,0,1,6,1,78,2,2487,0,0.09538213,6.635441,0.7883269,-1
2,1,19,F,proximal_repeated,1,21,0,1,7,1,77,1,1031,0,0.01891159,6.273604,0.166689,-1
2,1,19,F,proximal_repeated,1,21,0,1,8,2,79,3,2097,0,0.31934,12.3666,1.453604,-1
2,1,19,F,proximal_repeated,1,22,0,1,1,1,82,2,1664,0,0.4852128,6.642035,3.983003,-1
2,1,19,F,proximal_repeated,1,22,0,1,2,1,84,4,2220,0,0.1763109,6.619157,1.456965,-1
2,1,19,F,proximal_repeated,1,22,0,1,3,2,83,3,2542,0,0.222879,12.39617,1.010269,-1
2,1,19,F,proximal_repeated,1,22,0,1,4,2,82,2,1353,0,0.3414186,12.46701,1.535696,-1
2,1,19,F,proximal_repeated,1,22,0,1,5,1,83,3,2431,0,0.3051894,6.300959,2.710794,-1
2,1,19,F,proximal_repeated,1,22,0,1,6,2,81,1,1120,0,0.6575674,12.28014,3.048381,-1
2,1,19,F,proximal_repeated,1,22,0,1,7,2,84,4,3575,0,0.7610318,12.4507,3.384487,-1
2,1,19,F,proximal_repeated,1,22,0,1,8,1,81,1,1642,0,0.09875646,6.269398,0.8724523,-1
2,1,19,F,proximal_repeated,1,23,0,1,1,1,87,3,2553,0,0.04364461,6.306898,0.3820612,-1
2,1,19,F,proximal_repeated,1,23,0,1,2,2,88,4,2875,0,0.1127412,12.45381,0.5082192,-1
2,1,19,F,proximal_repeated,1,23,0,1,3,1,86,2,1942,0,0.1408229,6.651735,1.153688,-1
2,1,19,F,proximal_repeated,1,23,0,1,4,2,87,3,3308,0,0.9924114,12.39227,4.527488,-1
2,1,19,F,proximal_repeated,1,23,0,1,5,1,85,1,1220,0,0.35276,6.27041,3.093894,-1
2,1,19,F,proximal_repeated,1,23,0,1,6,2,86,2,1209,0,3.181285e-7,12.46396,0,-1
2,1,19,F,proximal_repeated,1,23,0,1,7,2,85,1,2798,1,0.9498286,12.26622,4.425141,-1
2,1,19,F,proximal_repeated,1,23,0,1,8,1,88,4,3665,0,1.236121e-7,6.622888,0,-1
2,1,19,F,proximal_repeated,1,24,0,1,1,1,90,2,2942,0,0.4081545,6.656023,3.340703,-1
2,1,19,F,proximal_repeated,1,24,0,1,2,1,89,1,1220,0,0.4110953,6.281766,3.577576,-1
2,1,19,F,proximal_repeated,1,24,0,1,3,2,90,2,4898,0,0.6914945,12.47444,3.130191,-1
2,1,19,F,proximal_repeated,1,24,0,1,4,2,91,3,3909,0,1.384817e-7,12.41487,0,-1
2,1,19,F,proximal_repeated,1,24,0,1,5,1,92,4,2542,0,0.03294042,6.627469,0.272681,-1
2,1,19,F,proximal_repeated,1,24,0,1,6,2,89,1,5442,0,0.5691445,12.29611,2.631506,-1
2,1,19,F,proximal_repeated,1,24,0,1,7,2,92,4,1464,0,0.5679251,12.45684,2.519094,-1
